campaign_id,campaign_name,source,medium,spend,impressions,clicks,conversions,revenue,date
1,Summer_Sale,google,paid_search,421.92,5400,216,34,2998.00,2025-08-01
2,Autumn_Sale,facebook,paid_social,327.60,9100,273,38,3025.40,2025-08-02
3,Loyalty_Offer,email,email_marketing,137.16,4800,252,58,3168.80,2025-08-03
4,Back_to_School,google,paid_search,610.88,7600,304,46,4147.20,2025-08-04
5,Brand_Prospecting,instagram,paid_social,154.70,15800,221,20,1765.00,2025-08-05
6,Remarketing,facebook,paid_social,461.49,6900,331,52,4428.00,2025-08-06
1,Summer_Sale,google,paid_search,399.00,5600,210,33,2871.00,2025-08-07
2,Autumn_Sale,facebook,paid_social,401.24,9400,308,41,3324.50,2025-08-08
3,Loyalty_Offer,email,email_marketing,126.00,4500,225,55,4636.50,2025-08-09
4,Back_to_School,google,paid_search,688.16,8200,328,49,4558.80,2025-08-10
5,Brand_Prospecting,instagram,paid_social,182.25,16200,243,22,2208.80,2025-08-11
6,Remarketing,facebook,paid_social,525.70,7100,355,55,4752.50,2025-08-12
1,Summer_Sale,google,paid_search,438.24,5900,248,36,3207.60,2025-08-13
2,Autumn_Sale,facebook,paid_social,362.14,8700,278,37,2928.50,2025-08-14
3,Loyalty_Offer,email,email_marketing,141.00,4700,235,60,5220.00,2025-08-15
4,Back_to_School,google,paid_search,632.00,7900,316,50,4550.00,2025-08-16
5,Brand_Prospecting,instagram,paid_social,141.05,15500,217,18,1752.00,2025-08-17
6,Remarketing,facebook,paid_social,474.62,6800,326,50,4200.00,2025-08-18
1,Summer_Sale,google,paid_search,451.52,6100,244,37,3290.60,2025-08-19
2,Autumn_Sale,facebook,paid_social,381.70,9300,289,40,3336.00,2025-08-20
3,Loyalty_Offer,email,email_marketing,132.55,4600,241,57,5076.00,2025-08-21
4,Back_to_School,google,paid_search,661.50,8100,315,48,4416.00,2025-08-22
5,Brand_Prospecting,instagram,paid_social,133.12,14900,208,17,1468.00,2025-08-23
6,Remarketing,facebook,paid_social,513.72,7200,342,53,4628.50,2025-08-24
1,Summer_Sale,google,paid_search,420.08,5800,232,35,3115.00,2025-08-25
